kHz;Time(UTC);Days;ITU;Station;Lng;Target;Remarks;P;Start;Stop
603;0000-0100;;CHN;China Radio Int.;VN;SEA;d;1;;
603;0400-0600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1100-1200;;CHN;China Radio Int.;CA;SEA;d;1;;
603;1200-1300;;CHN;China Radio Int.;VN;SEA;d;1;;[0420]
603;1300-1400;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1400-1500;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1600-1700;;CHN;China Radio Int.;VN;SEA;d;1;;
603;2300-2400;;CHN;China Radio Int.;VN;SEA;d;1;;
684;0000-0100;;CHN;China National Radio 6;AM;TWN;pt;1;;
684;0100-0200;;CHN;China National Radio 6;AM;TWN;pt;1;;
684;0200-0500;;CHN;China National Radio 6;AM;TWN;pt;1;;
684;0500-0600;;CHN;China National Radio 6;HK;TWN;pt;1;;
684;0600-0900;Th-Tu;CHN;China National Radio 6;HK;TWN;pt;1;;
684;0900-1100;;CHN;China National Radio 6;HK;TWN;pt;1;;
684;1100-1200;;CHN;China National Radio 6;M;TWN;pt;1;;
684;1200-1605;;CHN;China National Radio 6;M;TWN;pt;1;;
684;2155-2400;;CHN;China National Radio 6;AM;TWN;pt;1;;
684;0000-0100;;CHN;China Radio Int.;KH;SEA;d;1;;
684;0400-0600;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1030-1130;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1200-1300;;CHN;China Radio Int.;E;SEA;d;1;;
684;1300-1400;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1400-1500;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1600-1700;;CHN;China Radio Int.;VN;SEA;d;1;;
684;2300-2400;;CHN;China Radio Int.;KH;SEA;d;1;;
873;0355-0943;;CHN;China Huayi BC;M;TWN;f;1;;[0824]
873;0943-1200;;CHN;China Huayi BC;M;TWN;f;1;;[0824]
900;0200-0300;;CHN;China Radio Int.;BR;SEA;de;1;;
900;0700-0800;;CHN;China Radio Int.;BR;SEA;de;1;;
900;1400-1500;;CHN;China Radio Int.;BR;SEA;de;1;;
963;1100-1200;;CHN;China Radio Int.;R;FE;hd;1;;
963;1200-1300;;CHN;China Radio Int.;R;FE;hd;1;;
963;1300-1400;;CHN;China Radio Int.;R;FE;hd;1;;
963;1400-1500;;CHN;China Radio Int.;R;FE;hd;1;;
963;1500-1600;;CHN;China Radio Int.;R;FE;hd;1;;
1017;1000-1100;;CHN;China National Radio 8;K;CHN;cc;1;;
1017;1100-1300;;CHN;China Radio Int.;K;FE;cc;1;;
1017;1300-1400;;CHN;China Radio Int.;K;FE;cc;1;;
1017;1400-1500;;CHN;China Radio Int.;K;FE;cc;1;;[1218]
1017;1500-1600;;CHN;China Radio Int.;K;FE;cc;1;;
1017;2100-2300;;CHN;China Radio Int.;K;FE;cc;1;;
1044;1100-1300;;CHN;China Radio Int.;J;FE;ch;1;;
1044;1300-1400;;CHN;China Radio Int.;J;FE;ch;1;;
1044;1400-1500;;CHN;China Radio Int.;J;FE;ch;1;;
1044;1500-1600;;CHN;China Radio Int.;J;FE;ch;1;;
1080;1130-1230;;CHN;China Radio Int.;T;SEA;xw;1;;
1080;1230-1330;;CHN;China Radio Int.;LAO;SEA;xw;1;;
1080;1330-1430;;CHN;China Radio Int.;T;SEA;xw;1;;
1080;1430-1530;;CHN;China Radio Int.;LAO;SEA;xw;1;;
1080;1600-1700;;CHN;China Radio Int.;E;SEA;xw;1;;
1080;1700-1800;;CHN;China Radio Int.;E;SEA;xw;1;;[0424]
1089;0000-0100;;CHN;China National Radio 6;AM;TWN;f;1;;
1089;0100-0200;;CHN;China National Radio 6;AM;TWN;f;1;;
1089;0200-0500;;CHN;China National Radio 6;AM;TWN;f;1;;
1089;0500-0600;;CHN;China National Radio 6;HK;TWN;f;1;;
1089;0600-0900;Th-Tu;CHN;China National Radio 6;HK;TWN;f;1;;
1089;0900-1100;;CHN;China National Radio 6;HK;TWN;f;1;;
1089;1100-1200;;CHN;China National Radio 6;M;TWN;f;1;;
1089;1200-1605;;CHN;China National Radio 6;M;TWN;f;1;;[0324]
1089;2155-2400;;CHN;China National Radio 6;AM;TWN;f;1;;
1134;0600-0850;We-Mo;CHN;China National Radio 1;M;CHN;q;1;;
1134;0850-1805;;CHN;China National Radio 1;M;CHN;q;1;;
1134;2023-0600;;CHN;China National Radio 1;M;CHN;q;1;;
1188;1100-1200;;CHN;China Radio Int.;BR;SEA;k;1;;
1188;1200-1300;;CHN;China Radio Int.;E;SAs;k;1;;
1188;1300-1400;;CHN;China Radio Int.;BE;SAs;k;1;;
1188;1400-1500;;CHN;China Radio Int.;NE;SAs;k;1;;[0424]
1188;1500-1600;;CHN;China Radio Int.;E;SAs;k;1;;[0424]
1188;1600-1700;;CHN;China Radio Int.;HI;SAs;k;1;;
1269;1100-1200;;CHN;China Radio Int.;E;SEA;xw;1;;
1269;1200-1300;;CHN;China Radio Int.;E;SEA;xw;1;;
1269;1300-1400;;CHN;China Radio Int.;HI;SAs;xw;1;;
1269;1400-1500;;CHN;China Radio Int.;BE;SAs;xw;1;;
1269;1600-1700;;CHN;China Radio Int.;HI;SAs;xw;1;;
1269;1700-1800;;CHN;China Radio Int.;HI;SAs;xw;1;;
1296;1100-1200;;CHN;China Radio Int.;VN;SEA;k;1;;
1296;1200-1300;;CHN;China Radio Int.;VN;SEA;k;1;;[0420]
1296;1300-1400;;CHN;China Radio Int.;VN;SEA;k;1;;
1296;1400-1500;;CHN;China Radio Int.;VN;SEA;k;1;;[0424]
1296;1500-1600;;CHN;China Radio Int.;VN;SEA;k;1;;
1296;1600-1700;;CHN;China Radio Int.;VN;SEA;k;1;;
1323;1100-1200;;CHN;China Radio Int.;R;FE;hu;1;;
1323;1100-1200;;CHN;China Radio Int.;R;FE;sy;1;;
1323;1100-1300;;CHN;China Radio Int.;K;FE;hd;1;;
1323;1200-1300;;CHN;China Radio Int.;MO;FE;hu;1;;
1323;1200-1300;;CHN;China Radio Int.;R;FE;sy;1;;
1323;1300-1400;;CHN;China Radio Int.;K;FE;hd;1;;
1323;1300-1400;;CHN;China Radio Int.;R;FE;hu;1;;
1323;1300-1400;;CHN;China Radio Int.;R;FE;sy;1;;
1323;1400-1500;;CHN;China Radio Int.;K;FE;hd;1;;
1323;1400-1500;;CHN;China Radio Int.;R;FE;hu;1;;
1323;1400-1500;;CHN;China Radio Int.;R;FE;sy;1;;
1323;1500-1600;;CHN;China Radio Int.;E;SAs;hu;1;;
1323;1500-1600;;CHN;China Radio Int.;K;FE;hd;1;;
1323;1500-1600;;CHN;China Radio Int.;R;FE;sy;1;;
1323;1600-1700;;CHN;China Radio Int.;E;SAs;hu;1;;
1323;1700-1800;;CHN;China Radio Int.;E;SAs;hu;1;;
