kHz;Time(UTC);Days;ITU;Station;Lng;Target;Remarks;P;Start;Stop
3965;0100-0057;;F;Radio France DIGITAL;F;Eu;i;0;;
7390;0500-0600;;F;Radio France Int.;F;CAf;i;0;;
7390;0600-0700;;F;Radio France Int.;F;WAf;i;0;;
9565;0100-0200;;F;Radio France DIGITAL;F;WAf;i;0;;
9650;1300-1400;Su;F;Radio France Int.;VN;SEA;/TWN-p;1;;[0226]
9740;0430-0500;;F;Radio France Int.;SWA;EAf;i;0;;
9790;0400-0500;;F;Radio France Int.;F;EAf;i;0;;
9790;0500-0600;;F;Radio France Int.;F;CAf;i;0;;
9790;0600-0700;;F;Radio France Int.;F;WAf;i;0;;
9790;2000-2100;;F;Radio France Int.;F;WAf;i;0;;
9790;2100-2200;;F;Radio France Int.;F;WAf;i;0;;
9805;0600-0630;;F;Radio France Int.;HA;WAf;i;0;;
11700;0400-0500;;F;Radio France Int.;F;EAf;i;0;;
11700;0500-0600;;F;Radio France Int.;F;CAf;i;0;;
11700;0600-0700;;F;Radio France Int.;F;CAf;i;0;;
11700;0700-0800;;F;Radio France Int.;F;WAf;i;0;;
11760;0530-0600;;F;Radio France Int.;SWA;EAf;i;0;;
11760;2000-2030;;F;Radio France Int.;HA;WAf;i;0;;
11790;0700-0800;;F;Radio France DIGITAL;F;WAf;i;0;;
11875;0700-0730;;F;Radio France Int.;MAN;WAf;i;0;;
11995;0600-0630;;F;Radio France Int.;HA;WAf;i;0;;
11995;1900-2000;;F;Radio France Int.;F;WAf;i;0;;
11995;2000-2100;;F;Radio France Int.;F;WAf;i;0;;
11995;2100-2200;;F;Radio France Int.;F;WAf;i;0;;
13710;0730-0800;;F;Radio France Int.;FU;WAf;i;0;;
13740;0700-0730;;F;Radio France Int.;HA;WAf;i;0;;
13740;1800-1900;;F;Radio France Int.;F;WAf;i;0;;
13740;1900-2000;;F;Radio France Int.;F;CAf;i;0;;
15300;0600-0700;;F;Radio France Int.;F;CAf;i;0;;
15300;0700-0800;;F;Radio France Int.;F;WAf;i;0;;
15300;0800-0900;;F;Radio France Int.;F;WAf;i;0;;
15300;1700-1800;;F;Radio France Int.;F;WAf;i;0;;
15300;1800-1900;;F;Radio France Int.;F;WAf;i;0;;
15300;1900-2000;;F;Radio France Int.;F;WAf;i;0;;
15325;0700-0730;;F;Radio France Int.;HA;WAf;i;0;;
15455;0800-0830;;F;Radio France Int.;MAN;WAf;i;0;;
17620;0900-1000;;F;Radio France Int.;F;WAf;i;0;;
17620;1700-1730;;F;Radio France Int.;MAN;WAf;i;0;;
17620;1730-1800;;F;Radio France Int.;FU;WAf;i;0;;
17660;0830-0900;;F;Radio France Int.;FU;WAf;i;0;;
17660;1200-1300;;F;Radio France Int.;F;WAf;i;0;;
17850;0700-0800;;F;Radio France Int.;F;CAf;i;0;;
17850;0800-0900;;F;Radio France Int.;F;WAf;i;0;;
17850;0900-1000;;F;Radio France Int.;F;WAf;i;0;;
17850;1800-1900;;F;Radio France Int.;F;CAf;i;0;;
17850;1900-2000;;F;Radio France Int.;F;CAf;i;0;;
21580;0700-0800;;F;Radio France Int.;F;CAf;i;0;;
21580;0800-0900;;F;Radio France Int.;F;CAf;i;0;;
21580;0900-1000;;F;Radio France Int.;F;CAf;i;0;;
21580;1200-1300;;F;Radio France Int.;F;WAf;i;0;;
21580;1200-1300;;F;Radio France Int.;F;CAf;i;0;;
21580;1300-1330;;F;Radio France Int.;FU;WAf;i;0;;
21580;1600-1700;;F;Radio France Int.;HA;WAf;i;0;;
21580;1700-1800;;F;Radio France Int.;F;CAf;i;0;;
21615;1200-1230;;F;Radio France Int.;MAN;WAf;i;0;;
21690;0800-0900;;F;Radio France Int.;F;CAf;i;0;;
21690;0900-1000;;F;Radio France Int.;F;CAf;i;0;;
21690;1000-1100;;F;Radio France DIGITAL;F;WAf;i;0;;
21690;1200-1300;;F;Radio France Int.;F;CAf;i;0;;
21690;1500-1600;;F;Radio France Int.;SWA;EAf;i;0;;
21690;1600-1700;;F;Radio France DIGITAL;F;WAf;i;0;;
21690;1700-1800;;F;Radio France Int.;F;CAf;i;0;;
21690;1800-1900;;F;Radio France Int.;F;CAf;i;0;;
