kHz;Time(UTC);Days;ITU;Station;Lng;Target;Remarks;P;Start;Stop
1251;1630-1650;;J;NHK Radio Japan;FS;IRN;/TJK-y;1;;
1251;1700-1720;;J;NHK Radio Japan;UR;SAs;/TJK-y;1;;
1386;0330-0350;;J;NHK Radio Japan;R;EEu;/LTU-v;1;;
1386;1500-1515;Mo-Fr;J;NHK Radio Japan;R;EEu;/LTU-v;1;;
1386;1500-1520;SaSu;J;NHK Radio Japan;R;EEu;/LTU-v;1;;
1386;1730-1750;;J;NHK Radio Japan;R;EEu;/LTU-v;1;;
1395;1800-1820;;J;NHK Radio Japan;FS;IRN;/ARM;0;;
3622.5;0000-2400;;J;JMH Japan Meteo Fax;;FE;k;1;;[0222]
6105;0200-0400;;J;NHK Radio Japan;J;CAm;/F-i;0;;
6150;0300-0500;;J;NHK Radio Japan;J;NAf;/F-i;0;;
6165;0430-0450;;J;NHK Radio Japan;R;EEu;/D-n;0;;
6190;1100-1120;;J;NHK Radio Japan;K;FE;y;0;;
6190;1120-1140;;J;NHK Radio Japan;M;FE;y;0;;
6190;1140-1200;;J;NHK Radio Japan;K;FE;y;0;;
6190;1200-1220;;J;NHK Radio Japan;M;FE;y;0;;
6190;1220-1240;;J;NHK Radio Japan;K;FE;y;0;;
6190;1240-1300;;J;NHK Radio Japan;M;FE;y;0;;
6190;1300-1320;;J;NHK Radio Japan;K;FE;y;0;;
6190;1320-1340;;J;NHK Radio Japan;M;FE;y;0;;
6190;1340-1350;;J;NHK Radio Japan;K;FE;y;0;;
7375;0540-0600;;J;NHK Radio Japan;R;FE;y;0;;
7380;0700-0900;;J;NHK Radio Japan;J;SAm;y;0;;
7430;1030-1050;;J;NHK Radio Japan;R;FE;y;0;;
7450;0500-0520;;J;NHK Radio Japan;F;WAf;/F-i;0;;
7795;0000-2400;;J;JMH Japan Meteo Fax;;FE;k;1;;[0226]
9440;0500-0520;;J;NHK Radio Japan;F;CAf;/F-i;0;;
9440;1600-1620;;J;NHK Radio Japan;UR;SAs;y;0;;
9440;1700-1900;;J;NHK Radio Japan;J;SAs;y;0;;
9450;1400-1600;;J;NHK Radio Japan;J;IRN;y;6;0103;2903
9560;1700-1900;;J;NHK Radio Japan;J;FE;y;0;;
9665;1900-2100;;J;NHK Radio Japan;J;IRN;y;6;0103;2903
9700;0500-0900;;J;NHK Radio Japan;J;IRN;y;6;0103;2903
9740;0900-1300;;J;NHK Radio Japan;J;IRN;y;6;0103;2903
